trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-179.8016374781333,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-154.19968331285185,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,11,-70.1571652791867,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-48.266479629805126,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-111.72512855399708,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-169.57146171268172,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-142.96077350604952,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-162.54165757109686,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-41.50823117964049,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,4.895836126190647,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,7,-26.60353306083224,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,18,-2.0857697972468303,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-81.75919292331209,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,17,-56.703181912156595,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-54.96826294318768,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,1,-104.21485153895242,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,20,8.899175140976133,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-79.12910276718235,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-56.35279111666369,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,-1.612411287259876,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-31.222454085975656,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-34.20875359116209,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-15.840207289821223,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,1.0160330291908326,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-60.955627670481405,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-39.34000884371376,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-158.12493885022016,"{0: 28, 1: 1, 2: 1, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-30.95377422997209,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,18.051293279664794,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,31.80178954572616,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
