trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-140.137226361774,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-19.34364486581515,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-49.51500969313773,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",30,0,-165.12188502454046,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,0,-28.900674613166938,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",25,7,-7.156575130968241,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,0,-35.283569020585766,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",20,9,12.665443555962288,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",25,16,16.43495953121782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",20,13,13.592740938454059,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",20,0,6.487674298400821,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",25,5,19.83161754775061,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,6,-19.645118489686205,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",30,23,12.26157455693704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",20,9,-18.01095334929358,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,7,19.781103340945798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,12,-18.434264611402387,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,6,15.4672148990626,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
