trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0}",20,0,-15.432783043855586,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0}",20,0,-27.247785125797478,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0}",25,0,-16.134953272458915,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0}",30,0,-58.63643251150644,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-12.550642463858084,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0}",25,0,-16.31559229399831,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0}",20,0,-41.629936428561656,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0}",20,0,-20.329411796992584,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0}",20,0,-40.83957655232473,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0}",20,0,-48.87921536552015,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0}",30,0,0.3591675112859154,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0}",25,0,-31.611692896919468,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,-24.554579752169513,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,-23.52233515866439,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",20,0,-34.112285443403984,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",25,0,-37.441851572937004,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0}",25,0,-43.20804872207287,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,-12.122095960413821,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-36.00639193488297,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-13.570374070410216,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",25,0,-7.299797912870926,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",20,0,-15.871297655011714,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,-32.01524541765657,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",20,0,-26.01663604030503,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",30,0,-10.680932903678805,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0}",20,0,-44.58214464922083,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",25,0,-41.84897611174423,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",20,0,-19.69351664482107,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",25,0,-22.57280556674003,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,-50.539395089248686,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
